UK General Election Results 1992,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status
,,HF Ridley,Liberal Democrat,4953,9.42%,,,,
,,MW Powell,Liberal,1296,2.47%,,,,
,,JPG Fuller,Natural Law,354,0.67%,,,,
,,,,,,,,,
Derby North,*,G Knight,Conservative,28574,48.41%,73177,4453,80.65%,Conservative Hold
,,R Laxton,Labour,24121,40.87%,,,,
,,RA Charlesworth,Liberal Democrat,5638,9.55%,,,,
,,E Wall,Green,383,0.65%,,,,
,,PG Hart,National Front,245,0.42%,,,,
,,NM Onley,Natural Law,58,0.10%,,,,
,,,,,,,,,
Derby South,*,Mrs MM Beckett,Labour,25917,51.73%,66329,6936,75.53%,Labour Hold
,,NP Brown,Conservative,18981,37.89%,,,,
,,SJ Hartropp,Liberal Democrat,5198,10.38%,,,,
,,,,,,,,,
Derbyshire North East,*,H Barnes,Labour,28860,48.81%,73320,6270,80.64%,Labour Hold
,,JH Hayes,Conservative,22590,38.21%,,,,
,,D Stone,Liberal Democrat,7675,12.98%,,,,
,,,,,,,,,
Derbyshire South,*,Mrs E Currie,Conservative,34266,48.67%,83104,4658,84.71%,Conservative Hold
,,MW Todd,Labour,29608,42.06%,,,,
,,Ms. DJ Brass,Liberal Democrat,6236,8.86%,,,,
,,TW Mercer,Natural Law,291,0.41%,,,,
,,,,,,,,,
Derbyshire West,*,PA McLoughlin,Conservative,32879,54.33%,71201,18769,84.99%,Conservative Hold
,,RD Fearn,Liberal Democrat,14110,23.32%,,,,
,,SJ Clamp,Labour,13528,22.35%,,,,
,,,,,,,,,
Devizes,,Michael Ancram,Conservative,39090,53.33%,89746,19712,81.67%,Conservative Hold
,,Ms. JL Mactaggart,Liberal Democrat,19378,26.44%,,,,
,,Ms. RJ Berry,Labour,13060,17.82%,,,,
,,SC Coles,Liberal,962,1.31%,,,,
,,JD Ripley,Green,808,1.10%,,,,
,,,,,,,,,
Devon North,,NB Harvey,Liberal Democrat,27414,47.10%,68991,794,84.37%,Liberal Democrat Gain
,*,A Speller,Conservative,26620,45.73%,,,,
,,PB Donner,Labour,3410,5.86%,,,,
,,Ms. CH Simmons,Green,658,1.13%,,,,
,,GC Treadwell,Natural Law,107,0.18%,,,,
,,,,,,,,,
Devon West and Torridge,*,Miss EH Nicholson,Conservative,29627,47.27%,76936,3614,81.47%,Conservative Hold
,,DI McBride,Liberal Democrat,26013,41.50%,,,,
,,DG Brenton,Labour,5997,9.57%,,,,
,,F Williamson,Green,898,1.43%,,,,
,,DH Collins,Natural Law,141,0.22%,,,,
,,,,,,,,,
Dewsbury,*,Mrs WA Taylor,Labour,25596,43.83%,72833,634,80.19%,Labour Hold
,,J Whitfield,Conservative,24962,42.74%,,,,
,,RS Meadowcroft,Liberal Democrat,6570,11.25%,,,,
,,Ms. JP Birdwood,British National,660,1.13%,,,,
,,NM Denby,Green,471,0.81%,,,,
,,Ms. J Marsden,Natural Law,146,0.25%,,,,
,,,,,,,,,
Don Valley,*,M Redmond,Labour,32008,54.99%,76328,13534,76.26%,Labour Hold
,,N Paget-Brown,Conservative,18474,31.74%,,,,
,,M Jevons,Liberal Democrat,6920,11.89%,,,,
,,TS Platt,Green,803,1.38%,,,,
,,,,,,,,,
Doncaster Central,*,H Walker,Labour,27795,54.34%,68890,10682,74.25%,Labour Hold
,,GW Glossop,Conservative,17113,33.46%,,,,
,,CJ Hampson,Liberal Democrat,6057,11.84%,,,,
,,MR Driver,Workers' Revolutionary,184,0.36%,,,,
,,,,,,,,,
Doncaster North,,KM Hughes,Labour,34135,61.79%,74733,19813,73.92%,Labour Hold
,,RC Light,Conservative,14322,25.92%,,,,
,,S Whiting,Liberal Democrat,6787,12.29%,,,,
,,,,,,,,,
Dorset North,*,NB Baker,Conservative,34234,54.56%,76719,10080,81.79%,Conservative Hold
,,Mrs LE Siegle,Liberal Democrat,24154,38.49%,,,,
,,JF Fitzmaurice,Labour,4360,6.95%,,,,
,,,,,,,,,
Dorset South,*,IC Bruce,Conservative,29319,50.30%,75802,13508,76.90%,Conservative Hold
,,BEJ Ellis,Liberal Democrat,15811,27.12%,,,,
,,A Chedzoy,Labour,12298,21.10%,,,,
,,Mrs JW Hagel,Independent,673,1.15%,,,,
,,MRF Griffiths,Natural Law,191,0.33%,,,,
,,,,,,,,,
Dorset West,*,Sir JW Spicer,Conservative,27766,50.85%,67260,8010,81.18%,Conservative Hold
,,RAS Legg,Liberal Democrat,19756,36.18%,,,,
,,JPB Mann,Labour,7082,12.97%,,,,
,,,,,,,,,
Dover,*,DL Shaw,Conservative,25395,44.10%,68954,833,83.52%,Conservative Hold
,,GM Prosser,Labour,24562,42.65%,,,,
,,MJ Sole,Liberal Democrat,6212,10.79%,,,,
,,ACW Sullivan,Green,637,1.11%,,,,
,,PW Sherred,Independent Conservative,407,0.71%,,,,
,,BJ Philp,Independent Conservative,250,0.43%,,,,
,,CF Percy,Natural Law,127,0.22%,,,,
,,,,,,,,,
Down North,*,JA Kilfedder,Ulster Popular Unionist,19305,42.94%,68662,4934,65.47%,Ulster Popular Unionist Hold
,,L Kennedy,Conservative,14371,31.97%,,,,
,,AJ Morrow,Alliance,6611,14.71%,,,,
,,D Vitty,Democratic Unionist,4414,9.82%,,,,
,,A Wilmot,Natural Law,255,0.57%,,,,
,,,,,,,,,
Down South,*,EK McGrady,Social Democratic and Labour,31523,51.19%,76186,6342,80.82%,Social Democratic and Labour Hold
,,D Nelson,Ulster Unionist,25181,40.89%,,,,
,,S Fitzpatrick,Sinn Féin,1843,2.99%,,,,
,,MG Healy,Alliance,1542,2.50%,,,,
,,Mrs JS McKenzie-Hill,Conservative,1488,2.42%,,,,
,,,,,,,,,
Dudley East,*,Dr. JW Gilbert,Labour,29806,52.77%,75355,9200,74.96%,Labour Hold
,,CJ Holland,Conservative,20606,36.48%,,,,
,,IC Jenkins,Liberal Democrat,5400,9.56%,,,,
,,GE Cartwright,National Front,675,1.19%,,,,
,,,,,,,,,
Dudley West,*,Dr. JG Blackburn,Conservative,34729,48.83%,86633,5789,82.09%,Conservative Hold
,,KJ Lomax,Labour,28940,40.69%,,,,
,,GPT Lewis,Liberal Democrat,7446,10.47%,,,,
,,,,,,,,,
Dulwich,,Mrs TJHD Jowell,Labour,17714,47.30%,55275,2056,67.75%,Labour Gain
,*,GF Bowden,Conservative,15658,41.81%,,,,
,,GMA Goldie,Liberal Democrat,4078,10.89%,,,,
,,,,,,,,,
Dumbarton,*,J McFall,Labour,19255,43.64%,57252,6129,77.07%,Labour Hold
,,TNA Begg,Conservative,13126,29.75%,,,,
,,W McKechnie,Scottish National,8127,18.42%,,,,
,,J Morrison,Liberal Democrat,3425,7.76%,,,,
,,D Krass,Natural Law,192,0.44%,,,,
,,,,,,,,,
Dumfries,*,Sir HSP Monro,Conservative,21089,43.13%,61189,6415,79.92%,Conservative Hold
,,PR Rennie,Labour,14674,30.01%,,,,
,,AN Morgan,Scottish National,6971,14.26%,,,,
,,NC Wallace,Liberal Democrat,5749,11.76%,,,,
,,GWS McLeod,Independent Green,312,0.64%,,,,
,,T Barlow,Natural Law,107,0.22%,,,,
,,,,,,,,,
Dundee East,*,JD McAllion,Labour,18761,44.04%,58959,4564,72.26%,Labour Hold
,,DM Coutts,Scottish National,14197,33.32%,,,,
,,SF Blackwood,Conservative,7549,17.72%,,,,
,,IG Yuill,Liberal Democrat,1725,4.05%,,,,
,,SE Baird,Green,295,0.69%,,,,
,,R Baxter,Natural Law,77,0.18%,,,,
,,,,,,,,,
Dundee West,*,E Ross,Labour,20498,48.97%,59953,10604,69.82%,Labour Hold
,,KJ Brown,Scottish National,9894,23.64%,,,,
,,AM Spearman,Conservative,7746,18.50%,,,,
,,Ms. EG Dick,Liberal Democrat,3132,7.48%,,,,
,,Ms. EC Hood,Green,432,1.03%,,,,
,,D Arnold,Natural Law,159,0.38%,,,,
,,,,,,,,,
Dunfermline East,*,JG Brown,Labour,23692,62.43%,50180,17444,75.62%,Labour Hold
,,ME Tennant,Conservative,6248,16.46%,,,,
,,JV Lloyd,Scottish National,5746,15.14%,,,,
,,Mrs TM Little,Liberal Democrat,2262,5.96%,,,,
,,,,,,,,,
Dunfermline West,,Ms. RA Squire,Labour,16374,42.04%,50949,7484,76.45%,Labour Gain
,,MDA Scott-Hayward,Conservative,8890,22.82%,,,,
,,J Smith,Scottish National,7563,19.42%,,,,
,,Ms. EBA Harris,Liberal Democrat,6122,15.72%,,,,
,,,,,,,,,
Durham North,*,GH Radice,Labour,33567,59.87%,73702,19637,76.08%,Labour Hold
,,Mrs EA Sibley,Conservative,13930,24.84%,,,,
,,PJ Appleby,Liberal Democrat,8572,15.29%,,,,
,,,,,,,,,
Durham North West,*,Ms. HJ Armstrong,Labour,26734,57.85%,61168,13987,75.54%,Labour Hold
,,Mrs TM May,Conservative,12747,27.59%,,,,
,,TJ Farron,Liberal Democrat,6728,14.56%,,,,
,,,,,,,,,
Durham,*,GN Steinberg,Labour,27095,53.27%,68166,15058,74.61%,Labour Hold
,,MI Woodroofe,Conservative,12037,23.67%,,,,
,,N Martin,Liberal Democrat,10915,21.46%,,,,
,,Ms. SJ Banks,Green,812,1.60%,,,,
,,,,,,,,,
Ealing Acton,*,Sir GSK Young,Conservative,22579,50.60%,58688,7007,76.04%,Conservative Hold
,,Mrs YE Johnson,Labour,15572,34.90%,,,,
,,LA Rowe,Liberal Democrat,5487,12.30%,,,,
,,Miss AI Siebe,Green,554,1.24%,,,,
,,T Pitt-Aikens,Independent Conservative,432,0.97%,,,,
,,,,,,,,,
Ealing North,*,H Greenway,Conservative,24898,49.71%,63528,5966,78.84%,Conservative Hold
,,MJ Stears,Labour/Co-operative,18932,37.80%,,,,
,,PCD Hankinson,Liberal Democrat,5247,10.48%,,,,
,,DS Earl,Green,554,1.11%,,,,
,,CJG Hill,National Front,277,0.55%,,,,
,,RA Davies,Independent Democrat,180,0.36%,,,,
,,,,,,,,,
Ealing Southall,,PS Khabra,Labour,23476,47.44%,65574,6866,75.46%,Labour Hold
,,Prof. PC Treleaven,Conservative,16610,33.57%,,,,
,*,SJ Bidwell,Independent Labour,4665,9.43%,,,,
,,Mrs PKN Nandra,Liberal Democrat,3790,7.66%,,,,
,,N Goodwin,Green,944,1.91%,,,,
,,,,,,,,,
Easington,*,JS Cummings,Labour,34269,72.68%,65062,26390,72.47%,Labour Hold
,,WJ Perry,Conservative,7879,16.71%,,,,
,,P Freitag,Liberal Democrat,5001,10.61%,,,,
,,,,,,,,,
East Kilbride,*,AP Ingram,Labour,24055,46.91%,64100,11992,79.99%,Labour Hold
,,Mrs K McAlorum,Scottish National,12063,23.53%,,,,
,,GM Lind,Conservative,9781,19.08%,,,,
,,Mrs SM Grieve,Liberal Democrat,5377,10.49%,,,,
,,,,,,,,,
East Lothian,*,JD Home-Robertson,Labour,25537,46.48%,66700,10036,82.37%,Labour Hold
,,JP Hepburne-Scott,Conservative,15501,28.21%,,,,
,,GR Thomson,Scottish National,7776,14.15%,,,,
,,T McKay,Liberal Democrat,6126,11.15%,,,,
,,,,,,,,,
Eastbourne,,NC Waterson,Conservative,31792,51.59%,76146,5481,80.93%,Conservative Hold
,*,DF Bellotti,Liberal Democrat,26311,42.70%,,,,
,,IA Gibbons,Labour,2834,4.60%,,,,
,,D Aherne,Green,391,0.63%,,,,
,,Mrs MT Williamson,Liberal,296,0.48%,,,,
,,,,,,,,,
Eastleigh,,SDW Milligan,Conservative,38998,51.27%,91760,17702,82.89%,Conservative Hold
,,DWG Chidgey,Liberal Democrat,21296,28.00%,,,,
,,Miss JE Sugrue,Labour,15768,20.73%,,,,
,,,,,,,,,
Eastwood,*,JA Stewart,Conservative,24124,46.78%,63658,11688,81.01%,Conservative Hold
,,PA Grant-Hutchison,Labour,12436,24.11%,,,,
,,Miss M Craig,Liberal Democrat,8493,16.47%,,,,
,,PH Scott,Scottish National,6372,12.36%,,,,
,,Dr. L Fergusson,Natural Law,146,0.28%,,,,
,,,,,,,,,
Eccles,*,Ms. J Lestor,Labour,27357,56.86%,64911,13226,74.12%,Labour Hold
,,GJ Ling,Conservative,14131,29.37%,,,,
,,Rev. GC Reid,Liberal Democrat,5835,12.13%,,,,
,,RC Duriez,Green,521,1.08%,,,,
,,Miss JA Garner,Natural Law,270,0.56%,,,,
,,,,,,,,,
Eddisbury,*,AR Goodlad,Conservative,31625,51.02%,75081,12697,82.56%,Conservative Hold
,,Ms. NM Edwards,Labour,18928,30.54%,,,,
,,DW Lyon,Liberal Democrat,10543,17.01%,,,,
,,A Basden,Green,783,1.26%,,,,
,,NPJ Pollard,Natural Law,107,0.17%,,,,
,,,,,,,,,
Edinburgh Central,*,AM Darling,Labour,15189,38.79%,56689,2126,69.07%,Labour Hold
,,PC Martin,Conservative,13063,33.36%,,,,
,,Ms. LJ Devine,Scottish National,5539,14.15%,,,,
,,AB Myles,Liberal Democrat,4500,11.49%,,,,
,,RCM Harper,Green,630,1.61%,,,,
,,R Wilson,Liberal,235,0.60%,,,,
,,,,,,,,,
Edinburgh East,*,Dr. GS Strang,Labour,15446,45.75%,45785,7211,73.74%,Labour Hold
,,KF Ward,Conservative,8235,24.39%,,,,
,,D McKinney,Scottish National,6225,18.44%,,,,
,,DS Scobie,Liberal Democrat,3432,10.17%,,,,
,,GW Farmer,Green,424,1.26%,,,,
,,,,,,,,,
Edinburgh Leith,,MGR Chisholm,Labour,13790,34.21%,56654,4985,71.14%,Labour Hold
,,Ms. FJ Hyslop,Scottish National,8805,21.85%,,,,
,,MBA Rizvi,Conservative,8496,21.08%,,,,
,,Mrs HC Campbell,Liberal Democrat,4975,12.34%,,,,
,,RDM Brown,Independent Labour,4142,10.28%,,,,
,,AJ Swan,Natural Law,96,0.24%,,,,
,,,,,,,,,
Edinburgh Pentlands,*,ML Rifkind,Conservative,18128,40.69%,55646,4290,80.07%,Conservative Hold
,,MJ Lazarowicz,Labour/Co-operative,13838,31.06%,,,,
,,Ms. KM Caskie,Scottish National,6882,15.45%,,,,
,,KA Smith,Liberal Democrat,5597,12.56%,,,,
,,DC Rae,Natural Law,111,0.25%,,,,
,,,,,,,,,
Edinburgh South,*,N Griffiths,Labour,18485,41.46%,61547,4176,72.45%,Labour Hold
,,SJS Stevenson,Conservative,14309,32.09%,,,,
,,RA McCreadie,Liberal Democrat,5961,13.37%,,,,
,,RT Knox,Scottish National,5727,12.84%,,,,
,,GF Manclark,Natural Law,108,0.24%,,,,
,,,,,,,,,
Edinburgh West,*,Lord JA Douglas-Hamilton,Conservative,18071,37.05%,59078,879,82.57%,Conservative Hold
,,DCE Gorrie,Liberal Democrat,17192,35.25%,,,,
,,Ms. IA Kitson,Labour,8759,17.96%,,,,
,,GD Sutherland,Scottish National,4117,8.44%,,,,
,,AR Fleming,Liberal,272,0.56%,,,,
,,Ms. LM Hendry,Green,234,0.48%,,,,
,,DJ Bruce,British National,133,0.27%,,,,
,,,,,,,,,
Edmonton,*,Dr. ID Twinn,Conservative,22076,46.28%,63053,593,75.66%,Conservative Hold
,,AM Love,Labour/Co-operative,21483,45.03%,,,,
,,EV Jones,Liberal Democrat,3940,8.26%,,,,
,,Mrs GE Solly,Natural Law,207,0.43%,,,,
,,,,,,,,,
Ellesmere Port and Neston,,AP Miller,Labour,27782,46.14%,71622,1989,84.07%,Labour Gain
,,DA Pearce,Conservative,25793,42.84%,,,,
,,Ms. EB Jewkes,Liberal Democrat,5944,9.87%,,,,
,,MC Money,Green,589,0.98%,,,,
,,Dr. JA Rae,Natural Law,105,0.17%,,,,
,,,,,,,,,
Elmet,*,SL Batiste,Conservative,27677,47.52%,70711,3261,82.36%,Conservative Hold
,,C Burgon,Labour,24416,41.93%,,,,
,,Mrs A Beck,Liberal Democrat,6144,10.55%,,,,
,,,,,,,,,
Eltham,*,PJ Bottomley,Conservative,18813,45.96%,51989,1666,78.73%,Conservative Hold
,,CS Efford,Labour,17147,41.89%,,,,
,,CP McGinty,Liberal Democrat,4804,11.74%,,,,
,,AJ Graham,Independent Conservative,165,0.40%,,,,
,,,,,,,,,
Enfield North,*,TJC Eggar,Conservative,27789,52.90%,67422,9430,77.91%,Conservative Hold
,,M Upham,Labour,18359,34.95%,,,,
,,Miss SL Tustin,Liberal Democrat,5817,11.07%,,,,
,,JP Markham,Natural Law,565,1.08%,,,,
,,,,,,,,,
Enfield Southgate,*,MDX Portillo,Conservative,28422,57.94%,64312,15563,76.28%,Conservative Hold
,,Miss KR Livney,Labour,12859,26.21%,,,,
,,KJM Keane,Liberal Democrat,7080,14.43%,,,,
,,Mrs MCPH Hollands,Green,696,1.42%,,,,
,,,,,,,,,
Epping Forest,*,SJ Norris,Conservative,32407,59.52%,67600,20188,80.54%,Conservative Hold
,,SW Murray,Labour,12219,22.44%,,,,
,,Mrs BHM Austen,Liberal Democrat,9265,17.02%,,,,
,,A O'Brien,Independent,552,1.01%,,,,
,,,,,,,,,
Epsom and Ewell,*,AG Hamilton,Conservative,32861,60.17%,68138,20021,80.15%,Conservative Hold
,,MP Emerson,Liberal Democrat,12840,23.51%,,,,
,,RA Warren,Labour,8577,15.71%,,,,
,,GD Hatchard,Natural Law,334,0.61%,,,,
,,,,,,,,,
Erewash,,Mrs AA Knight,Conservative,29907,47.20%,75729,5703,83.67%,Conservative Hold
,,JJ Stafford,Labour,24204,38.20%,,,,
,,PR Tuck,Liberal Democrat,8606,13.58%,,,,
,,LA Johnson,British National,645,1.02%,,,,
,,,,,,,,,
Erith and Crayford,*,DA Evennett,Conservative,21926,46.48%,59214,2339,79.66%,Conservative Hold
,,CN Beard,Labour,19587,41.52%,,,,
,,Mrs FM Jamieson,Liberal Democrat,5657,11.99%,,,,
,,,,,,,,,
Esher,*,IC Taylor,Conservative,31115,65.44%,58862,20371,80.77%,Conservative Hold
,,JH Richling,Liberal Democrat,10744,22.60%,,,,
,,Miss JA Reay,Labour,5685,11.96%,,,,
,,,,,,,,,
Exeter,*,Sir JG Hannam,Conservative,25543,41.14%,77134,3045,80.48%,Conservative Hold
,,JN Lloyd,Labour,22498,36.24%,,,,
,,GJ Oakes,Liberal Democrat,12059,19.42%,,,,
,,Mrs AC Micklem,Liberal,1119,1.80%,,,,
,,TJR Brenan,Green,764,1.23%,,,,
,,MJ Turnbull,Natural Law,98,0.16%,,,,
,,,,,,,,,
Falkirk East,,M Connarty,Labour/Co-operative,18423,46.14%,51224,7969,77.95%,Labour/Co-operative Gain
,,RNF Halliday,Scottish National,10454,26.18%,,,,
,,K Harding,Conservative,8279,20.73%,,,,
,,Miss DM Storr,Liberal Democrat,2775,6.95%,,,,
,,,,,,,,,
Falkirk West,*,DA Canavan,Labour,19162,49.79%,49434,9812,77.85%,Labour Hold
,,W Houston,Scottish National,9350,24.30%,,,,
,,M Macdonald,Conservative,7558,19.64%,,,,
,,MJ Reilly,Liberal Democrat,2414,6.27%,,,,
,,,,,,,,,
Falmouth and Camborne,,SN Coe,Conservative,21150,36.88%,70712,3267,81.10%,Conservative Hold
,,Mrs TL Jones,Liberal Democrat,17883,31.19%,,,,
,,JD Cosgrove,Labour,16732,29.18%,,,,
,,PT Holmes,Liberal,730,1.27%,,,,
,,KJ Saunders,Green,466,0.81%,,,,
,,F Zapp,Monster Raving Loony,327,0.57%,,,,
,,AJ Pringle,Natural Law,56,0.10%,,,,
,,,,,,,,,
Fareham,*,PRC Lloyd,Conservative,40482,60.96%,81125,24141,81.86%,Conservative Hold
,,JC Thompson,Liberal Democrat,16341,24.61%,,,,
,,Ms. EM Weston,Labour,8766,13.20%,,,,
,,MJ Brimecome,Green,818,1.23%,,,,
,,,,,,,,,
Faversham,*,RD Moate,Conservative,32755,50.12%,82037,16351,79.66%,Conservative Hold
,,Mrs HR Brinton,Labour,16404,25.10%,,,,
,,R Truelove,Liberal Democrat,15896,24.32%,,,,
,,RM Bradshaw,Natural Law,294,0.45%,,,,
,,,,,,,,,
Feltham and Heston,,DA Keen,Labour/Co-operative,27660,46.08%,82133,1995,73.08%,Labour/Co-operative Gain
,*,RP Ground,Conservative,25665,42.76%,,,,
,,MF Hoban,Liberal Democrat,6700,11.16%,,,,
,,,,,,,,,
Fermanagh and South Tyrone,*,KW Maginnis,Ulster Unionist,26923,48.84%,70253,14113,78.47%,Ulster Unionist Hold
,,T Gallagher,Social Democratic and Labour,12810,23.24%,,,,
,,FJ Molloy,Sinn Féin,12604,22.86%,,,,
,,DA Kettyles,Independent Socialist,1094,1.98%,,,,
,,EAH Bullick,Alliance,950,1.72%,,,,
,,G Cullen,Independent,747,1.36%,,,,
,,,,,,,,,
Fife Central,*,HB McLeish,Labour,21036,50.40%,56092,10578,74.41%,Labour Hold
,,Mrs T Marwick,Scottish National,10458,25.06%,,,,
,,Mrs CE Cender,Conservative,7353,17.62%,,,,
,,CTA Harrow,Liberal Democrat,2892,6.93%,,,,
,,,,,,,,,
Fife North East,*,WM Campbell,Liberal Democrat,19430,46.44%,53836,3308,77.72%,Liberal Democrat Gain
,,Mrs ME Scanlon,Conservative,16122,38.53%,,,,
,,FD Roche,Scottish National,3589,8.58%,,,,
,,Mrs LM Clark,Labour,2319,5.54%,,,,
,,TGP Flynn,Green,294,0.70%,,,,
,,DM Senior,Liberal,85,0.20%,,,,
,,,,,,,,,
Finchley,,VEH Booth,Conservative,21039,51.21%,52908,6388,77.65%,Conservative Hold
,,Miss AC Marjoram,Labour,14651,35.66%,,,,
,,Miss HF Leighter,Liberal Democrat,4568,11.12%,,,,
,,A Gunstock,Green,564,1.37%,,,,
,,Miss SA Johnson,Monster Raving Loony,130,0.32%,,,,
,,JD Macrae,Natural Law,129,0.31%,,,,
,,,,,,,,,
Folkestone and Hythe,*,M Howard,Conservative,27437,52.33%,65856,8910,79.62%,Conservative Hold
,,Mrs LW Cufley,Liberal Democrat,18527,35.33%,,,,
,,P Doherty,Labour,6347,12.10%,,,,
,,AR Hobbs,Natural Law,123,0.23%,,,,
,,,,,,,,,
Foyle,*,J Hume,Social Democratic and Labour,26710,51.47%,74673,13005,69.49%,Social Democratic and Labour Hold
,,GL Campbell,Democratic Unionist,13705,26.41%,,,,
,,JMP McGuinness,Sinn Féin,9149,17.63%,,,,
,,Mrs LA McIlroy,Alliance,1390,2.68%,,,,
,,G McKenzie,The Workers' (NI),514,0.99%,,,,
,,JJP Burns,Natural Law,422,0.81%,,,,
,,,,,,,,,
Fulham,*,MHM Carrington,Conservative,21438,53.37%,52945,6579,75.87%,Conservative Hold
,,NP Moore,Labour,14859,36.99%,,,,
,,PM Crystal,Liberal Democrat,3339,8.31%,,,,
,,Mrs EGA Streeter,Green,443,1.10%,,,,
,,JV Darby,Natural Law,91,0.23%,,,,
,,,,,,,,,
Fylde,*,JM Jack,Conservative,30639,61.39%,63599,20991,78.47%,Conservative Hold
,,N Cryer,Liberal Democrat,9648,19.33%,,,,
,,Ms. C Hughes,Labour,9382,18.80%,,,,
,,PDN Leadbetter,Natural Law,239,0.48%,,,,
,,,,,,,,,
Gainsborough and Horncastle,*,EJE Leigh,Conservative,31444,53.97%,72038,16245,80.88%,Conservative Hold
,,N Taylor,Liberal Democrat,15199,26.09%,,,,
,,Mrs FEA Jones,Labour,11619,19.94%,,,,
,,,,,,,,,
Galloway and Upper Nithsdale,*,IB Lang,Conservative,18681,41.99%,54500,2468,81.63%,Conservative Hold
,,M Brown,Scottish National,16213,36.45%,,,,
,,J Dowson,Labour,5766,12.96%,,,,
,,JE McKerchar,Liberal Democrat,3826,8.60%,,,,
,,,,,,,,,
Gateshead East,*,Miss JG Quin,Labour,30100,63.52%,64355,18530,73.64%,Labour Hold
,,JM Callanan,Conservative,11570,24.41%,,,,
,,RWAL Beadle,Liberal Democrat,5720,12.07%,,,,
,,,,,,,,,
Gedling,*,AJB Mitchell,Conservative,30191,53.18%,68954,10637,82.34%,Conservative Hold
,,VR Coaker,Labour,19554,34.44%,,,,
,,DG George,Liberal Democrat,6863,12.09%,,,,
,,Ms. AKL Miszeweka,Natural Law,168,0.30%,,,,
,,,,,,,,,
Gillingham,*,JR Couchman,Conservative,30201,52.33%,71851,16638,80.32%,Conservative Hold
,,PG Clark,Labour,13563,23.50%,,,,
,,MA Wallbank,Liberal Democrat,13509,23.41%,,,,
,,C MacKinlay,Independent,248,0.43%,,,,
,,D Jolicoeur,Natural Law,190,0.33%,,,,
,,,,,,,,,
Glanford and Scunthorpe,*,EA Morley,Labour,30637,52.78%,73404,8411,79.08%,Labour Hold
,,AM Saywood,Conservative,22226,38.29%,,,,
,,W Paxton,Liberal Democrat,4186,7.21%,,,,
,,C Nottingham,Independent Ind SD,996,1.72%,,,,
,,,,,,,,,
Glasgow Cathcart,*,JA Maxton,Labour,16265,48.28%,44779,8001,75.24%,Labour Hold
,,JH Young,Conservative,8264,24.53%,,,,
,,WA Steven,Scottish National,6107,18.13%,,,,
,,GC Dick,Liberal Democrat,2614,7.76%,,,,
,,Mrs KM Allan,Green,441,1.31%,,,,
,,,,,,,,,
Glasgow Central,*,MG Watson,Labour,17341,57.17%,48159,11019,62.99%,Labour Hold
,,B O'Hara,Scottish National,6322,20.84%,,,,
,,EN Stewart,Conservative,4208,13.87%,,,,
,,Dr. AN Rennie,Liberal Democrat,1921,6.33%,,,,
,,Ms. IF Brandt,Green,435,1.43%,,,,
,,TD Burn,Communist of Great Britain,106,0.35%,,,,
,,,,,,,,,
Glasgow Garscadden,*,DC Dewar,Labour,18920,64.42%,41214,13340,71.26%,Labour Hold
,,RG Douglas,Scottish National,5580,19.00%,,,,
,,JLP Scott,Conservative,3385,11.52%,,,,
,,CG Brodie,Liberal Democrat,1425,4.85%,,,,
,,WG Orr,Natural Law,61,0.21%,,,,
,,,,,,,,,
Glasgow Govan,,IG Davidson,Labour/Co-operative,17051,48.94%,45879,4125,75.95%,Labour/Co-operative Gain
,*,Jim Sillars,Scottish National,12926,37.10%,,,,
,,JA Donnelly,Conservative,3458,9.92%,,,,
,,R Stewart,Liberal Democrat,1227,3.52%,,,,
,,DL Spaven,Green,181,0.52%,,,,
,,,,,,,,,
Glasgow Hillhead,*,G Galloway,Labour,15148,38.47%,57331,4826,68.68%,Labour Hold
,,CM Mason,Liberal Democrat,10322,26.22%,,,,
,,Mrs AK Bates,Conservative,6728,17.09%,,,,
,,Ms. S White,Scottish National,6484,16.47%,,,,
,,Ms. ER Collie,Green,558,1.42%,,,,
,,Ms. H Gold,Revolutionary Communist,73,0.19%,,,,
,,DJ Patterson,Natural Law,60,0.15%,,,,
,,,,,,,,,
Glasgow Maryhill,*,Ms. CM Fyfe,Labour,19452,61.64%,48479,13419,65.09%,Labour Hold
,,C Williamson,Scottish National,6033,19.12%,,,,
,,JP Godfrey,Conservative,3248,10.29%,,,,
,,J Alexander,Liberal Democrat,2215,7.02%,,,,
,,PJ O'Brien,Green,530,1.68%,,,,
,,MD Henderson,Natural Law,78,0.25%,,,,
,,,,,,,,,
Glasgow Pollok,*,JF Dunnachie,Labour,14170,43.41%,46190,7883,70.67%,Labour Hold
,,T Sheridan,Scottish Militant Labour,6287,19.26%,,,,
,,R Gray,Conservative,5147,15.77%,,,,
,,GA Leslie,Scottish National,5107,15.65%,,,,
,,DM Jago,Liberal Democrat,1932,5.92%,,,,
,,,,,,,,,
Glasgow Provan,*,J Wray,Labour,15885,66.52%,36579,10703,65.28%,Labour Hold
,,Ms. S MacRae,Scottish National,5182,21.70%,,,,
,,AR Rosindell,Conservative,1865,7.81%,,,,
,,CE Bell,Liberal Democrat,948,3.97%,,,,
,,,,,,,,,
Glasgow Rutherglen,*,TM McAvoy,Labour/Co-operative,21962,55.38%,52719,15270,75.22%,Labour/Co-operative Hold
,,BD Cooklin,Conservative,6692,16.88%,,,,
,,J Higgins,Scottish National,6470,16.32%,,,,
